iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	44	6	30	20	0.109	0.109	0.109	0.109	0.109	0.109	0.109	0.109				
2004	44	6	40	20	0.106	0.106	0.106	0.106	0.106	0.106	0.106	0.106				
2004	44	6	50	20	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111				
2004	44	7	0	20	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0.105				
2004	44	7	10	20	0.097	0.097	0.097	0.097	0.097	0.097	0.097	0.097				
2004	44	7	20	20	0.097	0.097	0.097	0.097	0.097	0.097	0.097	0.097				
2004	44	7	30	20	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098				
2004	44	7	40	20	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096				
2004	44	7	50	20	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0.105				
2004	44	8	0	20	0.129	0.129	0.129	0.129	0.129	0.129	0.129	0.129				
2004	44	8	10	20	0.188	0.188	0.188	0.188	0.188	0.188	0.188	0.188				
2004	44	8	20	20	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22				
2004	44	8	30	20	0.297	0.297	0.297	0.297	0.297	0.297	0.297	0.297				
2004	44	8	40	20	0.385	0.385	0.385	0.385	0.385	0.385	0.385	0.385				
2004	44	8	50	20	0.482	0.482	0.482	0.482	0.482	0.482	0.482	0.482				
2004	44	9	0	20	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596				
2004	44	9	10	20	0.698	0.698	0.698	0.698	0.698	0.698	0.698	0.698				
2004	44	9	20	20	0.821	0.821	0.821	0.821	0.821	0.821	0.821	0.821				
2004	44	9	30	20	0.923	0.923	0.923	0.923	0.923	0.923	0.923	0.923				
2004	44	9	40	20	0.982	0.982	0.982	0.982	0.982	0.982	0.982	0.982				
2004	44	9	50	20	1.066	1.066	1.066	1.066	1.066	1.066	1.066	1.066				
2004	44	10	0	20	1.246	1.246	1.246	1.246	1.246	1.246	1.246	1.246				
2004	44	10	10	20	1.393	1.393	1.393	1.393	1.393	1.393	1.393	1.393				
2004	44	10	20	20	1.546	1.546	1.546	1.546	1.546	1.546	1.546	1.546				
2004	44	10	30	20	1.749	1.749	1.749	1.749	1.749	1.749	1.749	1.749				
2004	44	10	40	20	1.914	1.914	1.914	1.914	1.914	1.914	1.914	1.914				
